CREATE VIEW
id,filename,ref_count,sources
507,iron-single-bed-120.webp,3,product_variants.image_id; products_rels
542,iron-standing-mirror-regal-picture.webp,1,products_rels
508,iron-standing-mirror-regal.webp,2,products.seo_og_image_id; products_rels
509,iron-standing-mirror.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
437,iron-study-chair-picture-v2.webp,0,""
438,iron-study-chair-picture-v3.webp,1,products_rels
439,iron-study-chair-picture-v4.webp,1,products_rels
440,iron-study-chair-picture.webp,2,products.seo_og_image_id; products_rels
543,iron-study-desk-picture-v2.webp,1,products_rels
544,iron-study-desk-picture.webp,1,products_rels
545,iron-study-desk-scene-picture.webp,1,products_rels
510,iron-study-desk-v2.webp,2,products.seo_og_image_id; products_rels
511,iron-study-desk.webp,0,""
546,iron-vanity-3-drawers-picture-v2.webp,1,products_rels
547,iron-vanity-3-drawers-picture.webp,1,products_rels
512,iron-vanity-3-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
992,iron-vanity-chair-picture-v2.webp,2,products.seo_og_image_id; products_rels
513,iron-wall-mirror.webp,2,products.seo_og_image_id; products_rels
514,iron-wardrobe-1-doors-glass.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
548,iron-wardrobe-1-doors-mdf-picture-v2.webp,1,products_rels
549,iron-wardrobe-1-doors-mdf-picture.webp,1,products_rels
515,iron-wardrobe-1-doors-mdf.webp,2,product_variants.image_id; products_rels
516,iron-wardrobe-2-doors-glass.webp,2,product_variants.image_id; products_rels
517,iron-wardrobe-2-doors-mdf.webp,2,product_variants.image_id; products_rels
563,jacqueline-all-png-picture.webp,1,designs_rels
564,jacqueline-bookcase-picture-v2.webp,0,""
565,jacqueline-bookcase-picture-v3.webp,0,""
566,jacqueline-bookcase-picture.webp,1,products_rels
550,jacqueline-bookcase.webp,2,products.seo_og_image_id; products_rels
558,jacqueline-console-vanity-mirror.webp,2,products.seo_og_image_id; products_rels
567,jacqueline-double-bed-160-picture-v2.webp,2,products_rels
568,jacqueline-double-bed-160-picture-v3.webp,0,""
569,jacqueline-double-bed-160-picture-v4.webp,0,""
570,jacqueline-double-bed-160-picture-v5.webp,2,products_rels
571,jacqueline-double-bed-160-picture-v6.webp,2,products_rels
572,jacqueline-double-bed-160-picture-v7.webp,0,""
573,jacqueline-double-bed-160-picture.webp,0,""
551,jacqueline-double-bed-160.webp,7,product_variants.image_id; products.seo_og_image_id; products_rels
552,jacqueline-file-6-drawers.webp,3,product_variants.image_id; products.seo_og_image_id; products_rels
574,jacqueline-nightstand-picture-v2.webp,0,""
575,jacqueline-nightstand-picture-v3.webp,1,products_rels
576,jacqueline-nightstand-picture.webp,1,products_rels
553,jacqueline-nightstand.webp,2,products.seo_og_image_id; products_rels
577,jacqueline-scene-all-picture.webp,2,bedroom_furniture_rooms.image_id; designs_rels
578,jacqueline-scene-half-120-picture-v2.webp,1,designs_rels
579,jacqueline-scene-half-120-picture.webp,1,designs_rels
580,jacqueline-scene-half-3-picture.webp,0,""
581,jacqueline-scene-half-picture-v2.webp,0,""
582,jacqueline-scene-half-picture.webp,1,designs_rels
554,jacqueline-single-bed-100.webp,4,product_variants.image_id; products_rels
583,jacqueline-single-bed-120-picture-v2.webp,2,products_rels
584,jacqueline-single-bed-120-picture-v3.webp,0,""
585,jacqueline-single-bed-120-picture-v4.webp,2,products_rels
586,jacqueline-single-bed-120-picture.webp,2,products_rels
555,jacqueline-single-bed-120.webp,3,product_variants.image_id; products_rels
556,jacqueline-study-desk-light.webp,1,products_rels
